Algorithm,Nodes,Seed,p_or_L,Rho,Time_s
L-VQE Entanglement,8,0,1,0.8333333333333334,49.75535583496094
L-VQE No Entanglement,8,0,1,0.8333333333333304,55.11556005477905
L-VQE Entanglement,8,1,1,0.8333333333333334,49.19582486152649
L-VQE No Entanglement,8,1,1,0.8333333333333287,55.992095947265625
L-VQE Entanglement,8,2,1,1.0,49.19502520561218
L-VQE No Entanglement,8,2,1,0.6666666666666613,52.65942406654358
L-VQE Entanglement,8,3,1,1.0,49.16110801696777
L-VQE No Entanglement,8,3,1,0.8333333333333295,52.56304407119751
L-VQE Entanglement,8,4,1,1.0,49.206225872039795
L-VQE No Entanglement,8,4,1,0.9999999999999959,52.68100881576538
L-VQE Entanglement,8,5,1,1.0,49.78133010864258
L-VQE No Entanglement,8,5,1,0.9999999999999957,53.678426027297974
L-VQE Entanglement,8,6,1,0.9999999999999999,50.37752985954285
L-VQE No Entanglement,8,6,1,0.8333333333333296,55.4656298160553
L-VQE Entanglement,8,7,1,1.0,49.86722707748413
L-VQE No Entanglement,8,7,1,0.8333333333333282,52.97373604774475
L-VQE Entanglement,8,8,1,1.0,49.519570112228394
L-VQE No Entanglement,8,8,1,0.9999999999999959,53.72485709190369
L-VQE Entanglement,8,9,1,0.8333333333333334,48.5759060382843
L-VQE No Entanglement,8,9,1,0.8333333333333313,53.127394914627075
L-VQE Entanglement,8,0,1,0.9979583333333336,
L-VQE No Entanglement,8,0,1,0.8315833333333331,
L-VQE Entanglement,8,1,1,0.9981666666666656,
L-VQE No Entanglement,8,1,1,0.831583333333333,
L-VQE Entanglement,8,2,1,0.9981249999999994,
L-VQE No Entanglement,8,2,1,0.6649583333333333,
L-VQE Entanglement,8,3,1,0.9998333333333332,
L-VQE No Entanglement,8,3,1,0.8310833333333335,
L-VQE Entanglement,8,4,1,0.998708333333333,
L-VQE No Entanglement,8,4,1,0.8320000000000002,
L-VQE Entanglement,8,5,1,0.9996250000000003,
L-VQE No Entanglement,8,5,1,0.998875,
L-VQE Entanglement,8,6,1,0.9994583333333334,
L-VQE No Entanglement,8,6,1,0.8333333333333334,
L-VQE Entanglement,8,7,1,0.9976666666666661,
L-VQE No Entanglement,8,7,1,0.8323749999999999,
L-VQE Entanglement,8,8,1,0.9979583333333338,
L-VQE No Entanglement,8,8,1,0.8324583333333332,
L-VQE Entanglement,8,9,1,0.9972916666666668,
L-VQE No Entanglement,8,9,1,0.9973749999999996,
