graph,seed,algorithm,n_layers,rho
caveman,0,L-VQE,0,0.8333333333333334
caveman,0,L-VQE,1,0.8333333333333334
caveman,0,L-VQE,2,1.0
caveman,0,VQE,1,0.9992316199109044
caveman,0,VQE,2,0.9798174525245883
caveman,1,L-VQE,0,1.0
caveman,1,L-VQE,1,1.0
caveman,1,L-VQE,2,1.0
caveman,1,VQE,1,0.9999996362232711
caveman,1,VQE,2,0.932823106716171
caveman,2,L-VQE,0,0.8333333333333334
caveman,2,L-VQE,1,1.0
caveman,2,L-VQE,2,1.0
caveman,2,VQE,1,0.9373535720556051
caveman,2,VQE,2,0.9908591954857618
gaussian,0,L-VQE,0,1.0
gaussian,0,L-VQE,1,1.0000000000000002
gaussian,0,L-VQE,2,1.0000000000000002
gaussian,0,VQE,1,0.9999961173293305
gaussian,0,VQE,2,0.9699810911122327
gaussian,1,L-VQE,0,1.0
gaussian,1,L-VQE,1,1.0000000000000002
gaussian,1,L-VQE,2,1.0
gaussian,1,VQE,1,0.9994162132572273
gaussian,1,VQE,2,0.9742667573401097
gaussian,2,L-VQE,0,1.0
gaussian,2,L-VQE,1,1.0000000000000004
gaussian,2,L-VQE,2,1.0000000000000002
gaussian,2,VQE,1,0.999950242088161
gaussian,2,VQE,2,0.990323749760526
random_p,0,L-VQE,0,0.8333333333333334
random_p,0,L-VQE,1,0.8333333333333334
random_p,0,L-VQE,2,1.0
random_p,0,VQE,1,0.9992316199109044
random_p,0,VQE,2,0.9798174525245883
random_p,1,L-VQE,0,1.0
random_p,1,L-VQE,1,1.0
random_p,1,L-VQE,2,1.0
random_p,1,VQE,1,0.9999996362232711
random_p,1,VQE,2,0.932823106716171
random_p,2,L-VQE,0,0.8333333333333334
random_p,2,L-VQE,1,1.0
random_p,2,L-VQE,2,1.0
random_p,2,VQE,1,0.9373535720556051
random_p,2,VQE,2,0.9908591954857618
windmill,0,L-VQE,0,0.9999999999999994
windmill,0,L-VQE,1,0.9999999999999991
windmill,0,L-VQE,2,0.9999999999999994
windmill,0,VQE,1,0.9995165766266583
windmill,0,VQE,2,0.9802194407277062
windmill,1,L-VQE,0,0.9999999999999992
windmill,1,L-VQE,1,0.9999999999999992
windmill,1,L-VQE,2,0.9999999999999994
windmill,1,VQE,1,0.9999967891847191
windmill,1,VQE,2,0.9811536989599904
windmill,2,L-VQE,0,0.9999999999999997
windmill,2,L-VQE,1,0.9999999999999998
windmill,2,L-VQE,2,0.9999999999999998
windmill,2,VQE,1,0.9999999980276254
windmill,2,VQE,2,0.9940476635536925
gnp,0,L-VQE,0,1.0
gnp,0,L-VQE,1,1.0
gnp,0,L-VQE,2,1.0
gnp,0,VQE,1,0.9014077973706248
gnp,0,VQE,2,0.8816523421060399
gnp,1,L-VQE,0,1.0
gnp,1,L-VQE,1,1.0
gnp,1,L-VQE,2,1.0
gnp,1,VQE,1,0.9999995605651846
gnp,1,VQE,2,0.9893160995458593
gnp,2,L-VQE,0,1.0
gnp,2,L-VQE,1,0.9014084507042253
gnp,2,L-VQE,2,1.0
gnp,2,VQE,1,0.9982718725940578
gnp,2,VQE,2,0.9868171377411905
power,0,L-VQE,0,0.5897435897435898
power,0,L-VQE,1,0.5897435897435898
power,0,L-VQE,2,0.5897435897435898
power,0,VQE,1,0.9999998457619959
power,0,VQE,2,0.9486202737561379
power,1,L-VQE,0,1.0000000000000002
power,1,L-VQE,1,1.0000000000000002
power,1,L-VQE,2,1.0000000000000002
power,1,VQE,1,0.8205126505053815
power,1,VQE,2,0.5202166256556994
power,2,L-VQE,0,0.8205128205128212
power,2,L-VQE,1,0.38461538461538514
power,2,L-VQE,2,0.38461538461538497
power,2,VQE,1,0.5897434673094623
power,2,VQE,2,0.9828348237747685
