Algorithm,Nodes,Seed,p_or_L,Rho,Time_s
L-VQE Entanglement,10,0,1,1.0,7.61259388923645
L-VQE No Entanglement,10,0,1,0.9999999999999996,7.1992528438568115
L-VQE Entanglement,10,1,1,1.0,6.9803760051727295
L-VQE No Entanglement,10,1,1,0.9999999999999996,6.880880832672119
L-VQE Entanglement,10,2,1,0.9999999999999998,6.986472845077515
L-VQE No Entanglement,10,2,1,1.0,6.86989688873291
L-VQE Entanglement,10,3,1,1.0,7.015776872634888
L-VQE No Entanglement,10,3,1,0.9999999999999996,6.866853952407837
L-VQE Entanglement,10,4,1,1.0,6.952070951461792
L-VQE No Entanglement,10,4,1,0.9999999999999996,7.335443019866943
L-VQE Entanglement,10,5,1,1.0,6.872730731964111
L-VQE No Entanglement,10,5,1,0.9999999999999996,6.794794321060181
L-VQE Entanglement,10,6,1,1.0,6.896162986755371
L-VQE No Entanglement,10,6,1,0.9999999999999996,6.892961025238037
L-VQE Entanglement,10,7,1,1.0,6.904226064682007
L-VQE No Entanglement,10,7,1,0.9999999999999996,6.906635046005249
L-VQE Entanglement,10,8,1,1.0,7.3932108879089355
L-VQE No Entanglement,10,8,1,0.9999999999999996,6.805041313171387
L-VQE Entanglement,10,9,1,1.0,6.880677223205566
L-VQE No Entanglement,10,9,1,0.9999999999999996,6.833852767944336
L-VQE Entanglement,10,0,1,0.9988666666666667,
L-VQE No Entanglement,10,0,1,0.9994,
L-VQE Entanglement,10,1,1,0.9995333333333334,
L-VQE No Entanglement,10,1,1,0.7333333333333333,
L-VQE Entanglement,10,2,1,0.9992666666666666,
L-VQE No Entanglement,10,2,1,0.9994000000000001,
L-VQE Entanglement,10,3,1,0.9995999999999999,
L-VQE No Entanglement,10,3,1,0.9994000000000002,
L-VQE Entanglement,10,4,1,0.9994,
L-VQE No Entanglement,10,4,1,0.9995999999999999,
L-VQE Entanglement,10,5,1,0.9997333333333333,
L-VQE No Entanglement,10,5,1,0.9995999999999999,
L-VQE Entanglement,10,6,1,0.9998,
L-VQE No Entanglement,10,6,1,0.9995999999999999,
L-VQE Entanglement,10,7,1,0.9998000000000001,
L-VQE No Entanglement,10,7,1,0.9995999999999999,
L-VQE Entanglement,10,8,1,0.9996000000000002,
L-VQE No Entanglement,10,8,1,0.9998000000000001,
L-VQE Entanglement,10,9,1,0.9992,
L-VQE No Entanglement,10,9,1,1.0,
