graph,seed,algorithm,n_layers,rho
mobius_10,0,L-VQE,0,0.9998
mobius_10,0,L-VQE,1,0.9996999999999999
mobius_10,0,L-VQE,2,0.9996333333333334
mobius_10,0,VQE,1,0.9996666666666666
mobius_10,0,VQE,2,0.9991333333333333
mobius_10,1,L-VQE,0,0.9998
mobius_10,1,L-VQE,1,0.9995333333333333
mobius_10,1,L-VQE,2,0.9991333333333333
mobius_10,1,VQE,1,0.9998
mobius_10,1,VQE,2,0.9994666666666668
mobius_10,2,L-VQE,0,0.7332666666666667
mobius_10,2,L-VQE,1,0.9995999999999998
mobius_10,2,L-VQE,2,0.9997666666666665
mobius_10,2,VQE,1,0.9992333333333334
mobius_10,2,VQE,2,0.9993666666666665
mobius_10,3,L-VQE,0,0.9998000000000001
mobius_10,3,L-VQE,1,1.0
mobius_10,3,L-VQE,2,0.9995999999999999
mobius_10,3,VQE,1,0.9999
mobius_10,3,VQE,2,0.9985333333333332
mobius_10,4,L-VQE,0,0.9997999999999999
mobius_10,4,L-VQE,1,0.9994333333333334
mobius_10,4,L-VQE,2,0.9994999999999998
mobius_10,4,VQE,1,0.9997999999999999
mobius_10,4,VQE,2,0.9986666666666667
mobius_10,5,L-VQE,0,0.9999
mobius_10,5,L-VQE,1,0.9995999999999999
mobius_10,5,L-VQE,2,1.0
mobius_10,5,VQE,1,0.9996666666666665
mobius_10,5,VQE,2,0.9994666666666665
mobius_10,6,L-VQE,0,0.9999
mobius_10,6,L-VQE,1,0.9999
mobius_10,6,L-VQE,2,0.9998666666666666
mobius_10,6,VQE,1,0.9990666666666667
mobius_10,6,VQE,2,0.9993666666666666
mobius_10,7,L-VQE,0,0.9999
mobius_10,7,L-VQE,1,0.9997333333333334
mobius_10,7,L-VQE,2,0.9997
mobius_10,7,VQE,1,0.7333333333333333
mobius_10,7,VQE,2,0.9998999999999999
mobius_10,8,L-VQE,0,0.9998
mobius_10,8,L-VQE,1,0.9995
mobius_10,8,L-VQE,2,1.0
mobius_10,8,VQE,1,0.9996666666666665
mobius_10,8,VQE,2,0.9985999999999999
mobius_10,9,L-VQE,0,0.9999
mobius_10,9,L-VQE,1,0.9997999999999999
mobius_10,9,L-VQE,2,0.9992666666666667
mobius_10,9,VQE,1,0.9997666666666666
mobius_10,9,VQE,2,1.0
3reg_8,0,L-VQE,0,0.9998499999999998
3reg_8,0,L-VQE,1,0.9998999999999999
3reg_8,0,L-VQE,2,0.9998000000000001
3reg_8,0,VQE,1,0.9999500000000001
3reg_8,0,VQE,2,0.9993999999999998
3reg_8,1,L-VQE,0,0.9999499999999999
3reg_8,1,L-VQE,1,1.0
3reg_8,1,L-VQE,2,0.9996999999999998
3reg_8,1,VQE,1,1.0
3reg_8,1,VQE,2,0.9997
3reg_8,2,L-VQE,0,1.0
3reg_8,2,L-VQE,1,0.9996500000000001
3reg_8,2,L-VQE,2,0.9994
3reg_8,2,VQE,1,0.9991499999999999
3reg_8,2,VQE,2,0.99985
3reg_8,3,L-VQE,0,0.9997
3reg_8,3,L-VQE,1,0.9999499999999999
3reg_8,3,L-VQE,2,0.9996499999999999
3reg_8,3,VQE,1,0.9999499999999999
3reg_8,3,VQE,2,0.9987
3reg_8,4,L-VQE,0,0.9998000000000001
3reg_8,4,L-VQE,1,0.9998000000000001
3reg_8,4,L-VQE,2,0.9999500000000001
3reg_8,4,VQE,1,0.9997
3reg_8,4,VQE,2,0.9996
3reg_8,5,L-VQE,0,1.0
3reg_8,5,L-VQE,1,0.9995499999999999
3reg_8,5,L-VQE,2,1.0
3reg_8,5,VQE,1,0.99985
3reg_8,5,VQE,2,0.9995499999999999
3reg_8,6,L-VQE,0,1.0
3reg_8,6,L-VQE,1,0.9997499999999999
3reg_8,6,L-VQE,2,0.9998499999999998
3reg_8,6,VQE,1,0.9996499999999997
3reg_8,6,VQE,2,0.9998000000000001
3reg_8,7,L-VQE,0,0.9997499999999999
3reg_8,7,L-VQE,1,1.0
3reg_8,7,L-VQE,2,0.9996500000000001
3reg_8,7,VQE,1,0.9999
3reg_8,7,VQE,2,0.9987499999999999
3reg_8,8,L-VQE,0,1.0
3reg_8,8,L-VQE,1,0.9994999999999999
3reg_8,8,L-VQE,2,0.9996
3reg_8,8,VQE,1,1.0
3reg_8,8,VQE,2,0.9999
3reg_8,9,L-VQE,0,0.7999499999999998
3reg_8,9,L-VQE,1,1.0
3reg_8,9,L-VQE,2,1.0
3reg_8,9,VQE,1,0.9997999999999999
3reg_8,9,VQE,2,0.9996999999999998
3reg_10,0,L-VQE,0,0.923
3reg_10,0,L-VQE,1,0.922923076923077
3reg_10,0,L-VQE,2,0.9228846153846154
3reg_10,0,VQE,1,0.9227692307692307
3reg_10,0,VQE,2,0.9990384615384614
3reg_10,1,L-VQE,0,0.9229615384615385
3reg_10,1,L-VQE,1,0.923
3reg_10,1,L-VQE,2,0.9226923076923076
3reg_10,1,VQE,1,0.9998846153846154
3reg_10,1,VQE,2,0.9992307692307693
3reg_10,2,L-VQE,0,1.0
3reg_10,2,L-VQE,1,0.9998076923076922
3reg_10,2,L-VQE,2,1.0
3reg_10,2,VQE,1,0.9229230769230768
3reg_10,2,VQE,2,0.9225
3reg_10,3,L-VQE,0,0.9998846153846154
3reg_10,3,L-VQE,1,0.9994999999999999
3reg_10,3,L-VQE,2,0.9995769230769231
3reg_10,3,VQE,1,0.8458846153846153
3reg_10,3,VQE,2,0.9993076923076921
3reg_10,4,L-VQE,0,1.0
3reg_10,4,L-VQE,1,0.9992692307692308
3reg_10,4,L-VQE,2,0.9997307692307692
3reg_10,4,VQE,1,0.9228076923076924
3reg_10,4,VQE,2,0.9987692307692307
3reg_10,5,L-VQE,0,0.8461538461538461
3reg_10,5,L-VQE,1,1.0
3reg_10,5,L-VQE,2,0.9995384615384615
3reg_10,5,VQE,1,0.9998076923076922
3reg_10,5,VQE,2,0.9226923076923076
3reg_10,6,L-VQE,0,1.0
3reg_10,6,L-VQE,1,0.9990384615384614
3reg_10,6,L-VQE,2,0.9995384615384614
3reg_10,6,VQE,1,0.9230384615384616
3reg_10,6,VQE,2,0.9226923076923076
3reg_10,7,L-VQE,0,1.0
3reg_10,7,L-VQE,1,0.9996153846153842
3reg_10,7,L-VQE,2,0.9998846153846154
3reg_10,7,VQE,1,0.9997307692307693
3reg_10,7,VQE,2,0.9996153846153847
3reg_10,8,L-VQE,0,0.9998846153846154
3reg_10,8,L-VQE,1,0.9998846153846154
3reg_10,8,L-VQE,2,0.9998846153846154
3reg_10,8,VQE,1,0.9995769230769229
3reg_10,8,VQE,2,0.9224230769230768
3reg_10,9,L-VQE,0,0.9998846153846154
3reg_10,9,L-VQE,1,0.9993076923076925
3reg_10,9,L-VQE,2,1.0
3reg_10,9,VQE,1,0.9996538461538461
3reg_10,9,VQE,2,0.9993076923076922
3reg_12,0,L-VQE,0,0.875
3reg_12,0,L-VQE,1,0.937375
3reg_12,0,L-VQE,2,0.9373124999999999
3reg_12,0,VQE,1,0.99921875
3reg_12,0,VQE,2,0.99896875
3reg_12,1,L-VQE,0,0.999875
3reg_12,1,L-VQE,1,0.99965625
3reg_12,1,L-VQE,2,0.999875
3reg_12,1,VQE,1,0.875
3reg_12,1,VQE,2,0.87471875
3reg_12,2,L-VQE,0,0.9998437499999999
3reg_12,2,L-VQE,1,0.99975
3reg_12,2,L-VQE,2,0.9995312500000001
3reg_12,2,VQE,1,0.9993124999999999
3reg_12,2,VQE,2,0.9995937499999998
3reg_12,3,L-VQE,0,0.99990625
3reg_12,3,L-VQE,1,0.9997499999999998
3reg_12,3,L-VQE,2,0.9989687499999997
3reg_12,3,VQE,1,0.999625
3reg_12,3,VQE,2,0.9366249999999997
3reg_12,4,L-VQE,0,1.0
3reg_12,4,L-VQE,1,0.9996874999999998
3reg_12,4,L-VQE,2,0.999875
3reg_12,4,VQE,1,0.93684375
3reg_12,4,VQE,2,0.9991249999999998
3reg_12,5,L-VQE,0,0.7499687500000001
3reg_12,5,L-VQE,1,0.74990625
3reg_12,5,L-VQE,2,0.7499687500000001
3reg_12,5,VQE,1,0.9995624999999999
3reg_12,5,VQE,2,0.9373125
3reg_12,6,L-VQE,0,0.99990625
3reg_12,6,L-VQE,1,0.9995937499999998
3reg_12,6,L-VQE,2,0.99934375
3reg_12,6,VQE,1,0.875
3reg_12,6,VQE,2,0.9982499999999997
3reg_12,7,L-VQE,0,0.9998437499999999
3reg_12,7,L-VQE,1,0.9995312499999999
3reg_12,7,L-VQE,2,0.9994999999999998
3reg_12,7,VQE,1,0.9997187499999999
3reg_12,7,VQE,2,0.9998125
3reg_12,8,L-VQE,0,0.87484375
3reg_12,8,L-VQE,1,0.9373125
3reg_12,8,L-VQE,2,0.9375
3reg_12,8,VQE,1,0.9997812499999998
3reg_12,8,VQE,2,0.8743124999999999
3reg_12,9,L-VQE,0,1.0
3reg_12,9,L-VQE,1,0.9998749999999998
3reg_12,9,L-VQE,2,0.9996562500000001
3reg_12,9,VQE,1,0.9994999999999998
3reg_12,9,VQE,2,0.9989999999999999
3reg_14,0,L-VQE,0,0.941
3reg_14,0,L-VQE,1,0.9408235294117647
3reg_14,0,L-VQE,2,0.9998823529411763
3reg_14,0,VQE,1,0.9998823529411763
3reg_14,0,VQE,2,0.9401176470588234
3reg_14,1,L-VQE,0,0.9409999999999998
3reg_14,1,L-VQE,1,0.9411470588235294
3reg_14,1,L-VQE,2,0.9408823529411765
3reg_14,1,VQE,1,0.9999117647058824
3reg_14,1,VQE,2,0.999
3reg_14,2,L-VQE,0,1.0
3reg_14,2,L-VQE,1,0.9994705882352941
3reg_14,2,L-VQE,2,0.9997941176470587
3reg_14,2,VQE,1,0.9997941176470587
3reg_14,2,VQE,2,0.9994999999999999
3reg_14,3,L-VQE,0,0.9411176470588234
3reg_14,3,L-VQE,1,0.9409117647058823
3reg_14,3,L-VQE,2,0.9408823529411765
3reg_14,3,VQE,1,0.999794117647059
3reg_14,3,VQE,2,0.9996176470588236
3reg_14,4,L-VQE,0,0.9410882352941176
3reg_14,4,L-VQE,1,0.9407647058823531
3reg_14,4,L-VQE,2,0.9407941176470588
3reg_14,4,VQE,1,0.9999411764705881
3reg_14,4,VQE,2,0.9994117647058824
3reg_14,5,L-VQE,0,0.9999117647058824
