graph,seed,algorithm,n_layers,rho
caveman,0,L-VQE,0,0.6661041666666665
caveman,0,L-VQE,1,0.9995416666666662
caveman,0,L-VQE,2,0.9998124999999999
caveman,0,VQE,1,0.9968958333333329
caveman,0,VQE,2,0.9985000000000008
caveman,1,L-VQE,0,0.8333333333333334
caveman,1,L-VQE,1,0.9991249999999998
caveman,1,L-VQE,2,0.9990624999999999
caveman,1,VQE,1,0.9985208333333331
caveman,1,VQE,2,0.9975000000000008
caveman,2,L-VQE,0,0.8332291666666668
caveman,2,L-VQE,1,0.9994791666666663
caveman,2,L-VQE,2,0.9981874999999999
caveman,2,VQE,1,0.8309375
caveman,2,VQE,2,0.9969375000000001
caveman,3,L-VQE,0,0.6662499999999999
caveman,3,L-VQE,1,0.9987083333333332
caveman,3,L-VQE,2,0.9991666666666661
caveman,3,VQE,1,0.8319374999999999
caveman,3,VQE,2,0.9981249999999996
caveman,4,L-VQE,0,0.8331875000000001
caveman,4,L-VQE,1,0.999354166666666
caveman,4,L-VQE,2,0.9994791666666667
caveman,4,VQE,1,0.8317500000000001
caveman,4,VQE,2,0.9797291666666664
caveman,5,L-VQE,0,0.5414999999999998
caveman,5,L-VQE,1,0.9995416666666661
caveman,5,L-VQE,2,0.9994583333333334
caveman,5,VQE,1,0.9997291666666666
caveman,5,VQE,2,0.9973333333333332
caveman,6,L-VQE,0,0.8329583333333331
caveman,6,L-VQE,1,0.9999166666666666
caveman,6,L-VQE,2,0.9974791666666668
caveman,6,VQE,1,0.8327916666666665
caveman,6,VQE,2,0.9968958333333336
caveman,7,L-VQE,0,0.8330833333333333
caveman,7,L-VQE,1,0.9991874999999993
caveman,7,L-VQE,2,0.9996458333333335
caveman,7,VQE,1,0.9989791666666665
caveman,7,VQE,2,0.9965833333333328
caveman,8,L-VQE,0,1.0
caveman,8,L-VQE,1,0.9995625000000002
caveman,8,L-VQE,2,0.9995416666666661
caveman,8,VQE,1,0.9988749999999994
caveman,8,VQE,2,0.9968750000000003
caveman,9,L-VQE,0,0.5416666666666666
caveman,9,L-VQE,1,0.9996666666666666
caveman,9,L-VQE,2,0.9987083333333332
caveman,9,VQE,1,0.8328124999999998
caveman,9,VQE,2,0.9958541666666668
gaussian,0,L-VQE,0,1.0000000000000004
gaussian,0,L-VQE,1,0.9995652173913048
gaussian,0,L-VQE,2,0.9973043478260876
gaussian,0,VQE,1,0.998478260869566
gaussian,0,VQE,2,0.9978478260869581
gaussian,1,L-VQE,0,0.9997391304347831
gaussian,1,L-VQE,1,0.9987826086956533
gaussian,1,L-VQE,2,0.9978478260869567
gaussian,1,VQE,1,0.9990217391304357
gaussian,1,VQE,2,0.9957826086956533
gaussian,2,L-VQE,0,0.9993913043478266
gaussian,2,L-VQE,1,0.9996086956521748
gaussian,2,L-VQE,2,0.9955652173913047
gaussian,2,VQE,1,0.911434782608696
gaussian,2,VQE,2,0.9953913043478263
gaussian,3,L-VQE,0,0.5214999999999995
gaussian,3,L-VQE,1,0.9988260869565221
gaussian,3,L-VQE,2,0.9978478260869572
gaussian,3,VQE,1,0.9977826086956526
gaussian,3,VQE,2,0.997826086956522
gaussian,4,L-VQE,0,0.9996304347826093
gaussian,4,L-VQE,1,0.9963695652173921
gaussian,4,L-VQE,2,0.9972173913043482
gaussian,4,VQE,1,0.9991086956521749
gaussian,4,VQE,2,0.9979999999999999
gaussian,5,L-VQE,0,0.9984347826086962
gaussian,5,L-VQE,1,0.9992173913043483
gaussian,5,L-VQE,2,0.9976521739130443
gaussian,5,VQE,1,0.999021739130436
gaussian,5,VQE,2,0.9926521739130438
gaussian,6,L-VQE,0,0.6517391304347828
gaussian,6,L-VQE,1,0.9996521739130451
gaussian,6,L-VQE,2,0.9983913043478266
gaussian,6,VQE,1,0.9980652173913053
gaussian,6,VQE,2,0.9966521739130442
gaussian,7,L-VQE,0,1.0000000000000007
gaussian,7,L-VQE,1,0.9986956521739139
gaussian,7,L-VQE,2,0.9975652173913051
gaussian,7,VQE,1,0.9967391304347831
gaussian,7,VQE,2,0.9977391304347835
gaussian,8,L-VQE,0,0.9983695652173923
gaussian,8,L-VQE,1,0.9992173913043495
gaussian,8,L-VQE,2,0.9975217391304357
gaussian,8,VQE,1,0.9990869565217401
gaussian,8,VQE,2,0.9979565217391311
gaussian,9,L-VQE,0,0.9996086956521745
gaussian,9,L-VQE,1,0.999565217391305
gaussian,9,L-VQE,2,0.999260869565218
gaussian,9,VQE,1,0.9123913043478264
gaussian,9,VQE,2,0.999195652173914
random_p,0,L-VQE,0,0.8326458333333336
random_p,0,L-VQE,1,0.9993749999999993
random_p,0,L-VQE,2,0.9990624999999999
random_p,0,VQE,1,0.9993541666666658
random_p,0,VQE,2,0.9960625
random_p,1,L-VQE,0,0.9998124999999997
random_p,1,L-VQE,1,0.9999166666666662
random_p,1,L-VQE,2,0.9991041666666659
random_p,1,VQE,1,0.9991666666666662
random_p,1,VQE,2,0.9959583333333334
random_p,2,L-VQE,0,0.8327499999999998
random_p,2,L-VQE,1,0.9989166666666662
random_p,2,L-VQE,2,0.9988124999999995
random_p,2,VQE,1,0.9985000000000003
random_p,2,VQE,2,0.9972083333333345
random_p,3,L-VQE,0,0.6664583333333334
random_p,3,L-VQE,1,0.998729166666667
random_p,3,L-VQE,2,0.9991666666666666
random_p,3,VQE,1,0.9992708333333331
random_p,3,VQE,2,0.831479166666667
random_p,4,L-VQE,0,0.8331874999999999
random_p,4,L-VQE,1,0.9989999999999997
random_p,4,L-VQE,2,0.9985416666666663
random_p,4,VQE,1,0.9996249999999997
random_p,4,VQE,2,0.8277916666666666
random_p,5,L-VQE,0,0.5414999999999998
random_p,5,L-VQE,1,0.9992708333333328
random_p,5,L-VQE,2,0.9995833333333333
random_p,5,VQE,1,0.9993541666666658
random_p,5,VQE,2,0.9853958333333339
random_p,6,L-VQE,0,0.8330416666666665
random_p,6,L-VQE,1,0.9987083333333325
random_p,6,L-VQE,2,0.998875
random_p,6,VQE,1,0.9989374999999994
random_p,6,VQE,2,0.9979166666666668
random_p,7,L-VQE,0,0.4998958333333335
random_p,7,L-VQE,1,0.9994374999999996
random_p,7,L-VQE,2,0.9993541666666667
random_p,7,VQE,1,0.9998124999999999
random_p,7,VQE,2,0.8285208333333333
random_p,8,L-VQE,0,0.9998124999999997
random_p,8,L-VQE,1,0.9994583333333337
random_p,8,L-VQE,2,0.9997499999999991
random_p,8,VQE,1,0.9998125
random_p,8,VQE,2,0.9962916666666669
random_p,9,L-VQE,0,0.9996249999999997
random_p,9,L-VQE,1,0.9987291666666661
random_p,9,L-VQE,2,0.9993541666666664
random_p,9,VQE,1,0.8323958333333334
random_p,9,VQE,2,0.9978333333333332
windmill,0,L-VQE,0,0.9994999999999997
windmill,0,L-VQE,1,0.998833333333333
windmill,0,L-VQE,2,0.9976249999999997
windmill,0,VQE,1,0.9985416666666663
windmill,0,VQE,2,0.9953749999999997
windmill,1,L-VQE,0,0.8319999999999994
windmill,1,L-VQE,1,0.999416666666667
windmill,1,L-VQE,2,0.9975833333333327
windmill,1,VQE,1,0.997083333333333
windmill,1,VQE,2,0.9925416666666663
windmill,2,L-VQE,0,0.9999999999999997
windmill,2,L-VQE,1,0.9976666666666671
windmill,2,L-VQE,2,0.9953333333333331
windmill,2,VQE,1,0.9982499999999994
windmill,2,VQE,2,0.9958749999999996
windmill,3,L-VQE,0,0.9996666666666664
windmill,3,L-VQE,1,0.9983749999999997
windmill,3,L-VQE,2,0.9992499999999994
windmill,3,VQE,1,0.9989583333333331
windmill,3,VQE,2,0.9928333333333329
windmill,4,L-VQE,0,0.8330833333333333
windmill,4,L-VQE,1,0.9975833333333336
windmill,4,L-VQE,2,0.998041666666666
windmill,4,VQE,1,0.9967916666666663
windmill,4,VQE,2,0.9954166666666668
windmill,5,L-VQE,0,0.8330833333333333
windmill,5,L-VQE,1,0.999666666666666
windmill,5,L-VQE,2,0.9976666666666666
windmill,5,VQE,1,0.9974166666666661
windmill,5,VQE,2,0.9968333333333332
windmill,6,L-VQE,0,0.8333333333333333
windmill,6,L-VQE,1,0.9994166666666658
windmill,6,L-VQE,2,0.9977916666666664
windmill,6,VQE,1,0.9993749999999997
windmill,6,VQE,2,0.9967083333333331
windmill,7,L-VQE,0,0.8325416666666665
windmill,7,L-VQE,1,0.9976250000000002
windmill,7,L-VQE,2,0.9980416666666667
windmill,7,VQE,1,0.9992916666666661
windmill,7,VQE,2,0.9908333333333336
windmill,8,L-VQE,0,0.9987916666666659
windmill,8,L-VQE,1,0.997708333333333
windmill,8,L-VQE,2,0.9971666666666666
windmill,8,VQE,1,0.9984166666666662
windmill,8,VQE,2,0.9941666666666663
windmill,9,L-VQE,0,0.9984166666666666
windmill,9,L-VQE,1,0.9985416666666664
windmill,9,L-VQE,2,0.9985833333333328
windmill,9,VQE,1,0.9994166666666664
windmill,9,VQE,2,0.9984583333333331
gnp,0,L-VQE,0,0.9997183098591548
gnp,0,L-VQE,1,0.9976408450704225
gnp,0,L-VQE,2,0.9976197183098592
gnp,0,VQE,1,0.9995211267605633
gnp,0,VQE,2,0.8983802816901408
gnp,1,L-VQE,0,0.9996619718309859
gnp,1,L-VQE,1,0.9992394366197179
gnp,1,L-VQE,2,0.9980281690140845
gnp,1,VQE,1,0.716274647887324
gnp,1,VQE,2,0.9973169014084509
gnp,2,L-VQE,0,0.9994647887323942
gnp,2,L-VQE,1,0.9983450704225353
gnp,2,L-VQE,2,0.9966408450704227
gnp,2,VQE,1,1.0
gnp,2,VQE,2,0.9973239436619724
gnp,3,L-VQE,0,0.9014084507042254
gnp,3,L-VQE,1,0.9013450704225351
gnp,3,L-VQE,2,0.8998169014084505
gnp,3,VQE,1,0.9005774647887322
gnp,3,VQE,2,0.9003732394366197
gnp,4,L-VQE,0,0.9012323943661972
gnp,4,L-VQE,1,0.9013450704225351
gnp,4,L-VQE,2,0.9000985915492955
gnp,4,VQE,1,0.605112676056338
gnp,4,VQE,2,0.9932957746478868
gnp,5,L-VQE,0,0.717943661971831
gnp,5,L-VQE,1,0.7182887323943662
gnp,5,L-VQE,2,0.9985422535211268
gnp,5,VQE,1,0.999042253521127
gnp,5,VQE,2,0.9954859154929581
gnp,6,L-VQE,0,0.6052253521126761
gnp,6,L-VQE,1,0.6041126760563379
gnp,6,L-VQE,2,0.9995492957746476
gnp,6,VQE,1,0.9991056338028168
gnp,6,VQE,2,0.8944084507042257
gnp,7,L-VQE,0,0.9998028169014083
gnp,7,L-VQE,1,0.9980000000000001
gnp,7,L-VQE,2,0.9997887323943658
gnp,7,VQE,1,0.9003239436619721
gnp,7,VQE,2,0.8982253521126758
gnp,8,L-VQE,0,0.9014084507042254
gnp,8,L-VQE,1,0.9005422535211268
gnp,8,L-VQE,2,0.8987183098591552
gnp,8,VQE,1,0.7159014084507042
gnp,8,VQE,2,0.6560915492957746
