trial,method,final_cost,modularity,approx_ratio,shots,true_baseline
0,L-VQE,-9.305,9.305,-0.9305,1000,-10.0
0,VQE,-9.293,9.293,-0.9292999999999999,1000,-10.0
1,L-VQE,-9.735,9.735,-0.9734999999999999,1000,-10.0
1,VQE,-9.45,9.45,-0.945,1000,-10.0
0,L-VQE,-9.863,9.863,-0.9863,1000,-10.0
0,VQE,-9.326,9.326,-0.9326000000000001,1000,-10.0
1,L-VQE,-9.713,9.713,-0.9712999999999999,1000,-10.0
1,VQE,-9.518,9.518,-0.9518000000000001,1000,-10.0
2,L-VQE,-9.625,9.625,-0.9625,1000,-10.0
2,VQE,-8.976,8.976,-0.8976000000000001,1000,-10.0
3,L-VQE,-9.936,9.936,-0.9936,1000,-10.0
3,VQE,-9.397,9.397,-0.9397,1000,-10.0
4,L-VQE,-9.691,9.691,-0.9691000000000001,1000,-10.0
4,VQE,-9.245,9.245,-0.9244999999999999,1000,-10.0
5,L-VQE,-9.967,9.967,-0.9967,1000,-10.0
5,VQE,-9.600999999999999,9.600999999999999,-0.9601,1000,-10.0
6,L-VQE,-9.814,9.814,-0.9814,1000,-10.0
6,VQE,-9.002,9.002,-0.9002000000000001,1000,-10.0
7,L-VQE,-9.783000000000001,9.783000000000001,-0.9783000000000002,1000,-10.0
7,VQE,-9.569,9.569,-0.9569000000000001,1000,-10.0
8,L-VQE,-9.832,9.832,-0.9832000000000001,1000,-10.0
8,VQE,-9.06,9.06,-0.906,1000,-10.0
9,L-VQE,-9.585,9.585,-0.9585000000000001,1000,-10.0
9,VQE,-9.57,9.57,-0.9570000000000001,1000,-10.0
0,L-VQE,-9.863,9.863,-0.9863,1000,-10.0
0,VQE,-9.326,9.326,-0.9326000000000001,1000,-10.0
1,L-VQE,-9.713,9.713,-0.9712999999999999,1000,-10.0
1,VQE,-9.518,9.518,-0.9518000000000001,1000,-10.0
2,L-VQE,-9.625,9.625,-0.9625,1000,-10.0
2,VQE,-8.976,8.976,-0.8976000000000001,1000,-10.0
3,L-VQE,-9.936,9.936,-0.9936,1000,-10.0
3,VQE,-9.397,9.397,-0.9397,1000,-10.0
4,L-VQE,-9.691,9.691,-0.9691000000000001,1000,-10.0
4,VQE,-9.245,9.245,-0.9244999999999999,1000,-10.0
5,L-VQE,-9.967,9.967,-0.9967,1000,-10.0
5,VQE,-9.600999999999999,9.600999999999999,-0.9601,1000,-10.0
6,L-VQE,-9.814,9.814,-0.9814,1000,-10.0
6,VQE,-9.002,9.002,-0.9002000000000001,1000,-10.0
7,L-VQE,-9.783000000000001,9.783000000000001,-0.9783000000000002,1000,-10.0
7,VQE,-9.569,9.569,-0.9569000000000001,1000,-10.0
8,L-VQE,-9.832,9.832,-0.9832000000000001,1000,-10.0
8,VQE,-9.06,9.06,-0.906,1000,-10.0
9,L-VQE,-9.585,9.585,-0.9585000000000001,1000,-10.0
9,VQE,-9.57,9.57,-0.9570000000000001,1000,-10.0
0,L-VQE,-9.634,9.634,-0.9634,1000,-10.0
0,VQE,-9.329,9.329,-0.9329000000000001,1000,-10.0
1,L-VQE,-9.711,9.711,-0.9711000000000001,1000,-10.0
1,VQE,-8.997,8.997,-0.8996999999999999,1000,-10.0
2,L-VQE,-8.754,8.754,-0.8754,1000,-10.0
2,VQE,-9.487,9.487,-0.9487,1000,-10.0
3,L-VQE,-9.878,9.878,-0.9878,1000,-10.0
3,VQE,-9.36,9.36,-0.9359999999999999,1000,-10.0
4,L-VQE,-9.794,9.794,-0.9794,1000,-10.0
4,VQE,-9.248999999999999,9.248999999999999,-0.9248999999999998,1000,-10.0
5,L-VQE,-9.818,9.818,-0.9818,1000,-10.0
5,VQE,-9.409,9.409,-0.9409000000000001,1000,-10.0
6,L-VQE,-7.851,7.851,-0.7851,1000,-10.0
6,VQE,-8.969,8.969,-0.8968999999999999,1000,-10.0
7,L-VQE,-9.336,9.336,-0.9336,1000,-10.0
7,VQE,-9.406,9.406,-0.9406000000000001,1000,-10.0
8,L-VQE,-9.474,9.474,-0.9474,1000,-10.0
8,VQE,-9.335,9.335,-0.9335000000000001,1000,-10.0
9,L-VQE,-9.179,9.179,-0.9179,1000,-10.0
9,VQE,-9.299,9.299,-0.9299,1000,-10.0
