Algorithm,Nodes,Seed,p_or_L,Rho,Time_s
L-VQE Entanglement,10,0,1,1.0,5.20095682144165
L-VQE No Entanglement,10,0,1,0.9999999999999996,4.836106061935425
L-VQE Entanglement,10,1,1,1.0,4.867567300796509
L-VQE No Entanglement,10,1,1,0.7333333333333331,4.858425140380859
L-VQE Entanglement,10,2,1,1.0,4.8271872997283936
L-VQE No Entanglement,10,2,1,0.7333333333333331,4.8523547649383545
L-VQE Entanglement,10,3,1,1.0,4.872250080108643
L-VQE No Entanglement,10,3,1,0.9999999999999996,4.788390159606934
L-VQE Entanglement,10,4,1,1.0,4.820020914077759
L-VQE No Entanglement,10,4,1,0.9999999999999996,4.788313150405884
L-VQE Entanglement,10,5,1,1.0,4.893448114395142
L-VQE No Entanglement,10,5,1,0.9999999999999996,4.8073930740356445
L-VQE Entanglement,10,6,1,1.0,5.017300844192505
L-VQE No Entanglement,10,6,1,0.9999999999999996,4.897218227386475
L-VQE Entanglement,10,7,1,1.0,5.078776836395264
L-VQE No Entanglement,10,7,1,0.9999999999999996,4.931952953338623
L-VQE Entanglement,10,8,1,1.0,4.94054388999939
L-VQE No Entanglement,10,8,1,0.9999999999999996,4.990302085876465
L-VQE Entanglement,10,9,1,1.0,4.809514045715332
L-VQE No Entanglement,10,9,1,0.9999999999999996,4.64723801612854
