Algorithm,Nodes,Seed,p_or_L,Rho,Time_s
L-VQE Entanglement,10,0,1,1.0,5.291995048522949
L-VQE No Entanglement,10,0,1,0.9999999999999996,5.243587017059326
L-VQE Entanglement,10,1,1,1.0,5.668203115463257
L-VQE No Entanglement,10,1,1,0.7333333333333331,5.560595273971558
L-VQE Entanglement,10,2,1,1.0,5.3176589012146
L-VQE No Entanglement,10,2,1,0.7333333333333331,4.965462684631348
L-VQE Entanglement,10,3,1,1.0,4.94801926612854
L-VQE No Entanglement,10,3,1,0.9999999999999996,4.952357053756714
L-VQE Entanglement,10,4,1,1.0,4.941349744796753
L-VQE No Entanglement,10,4,1,0.9999999999999996,4.768752813339233
L-VQE Entanglement,10,5,1,1.0,4.869544982910156
L-VQE No Entanglement,10,5,1,0.9999999999999996,4.854247093200684
L-VQE Entanglement,10,6,1,1.0,4.849062204360962
L-VQE No Entanglement,10,6,1,0.9999999999999996,4.772053956985474
L-VQE Entanglement,10,7,1,1.0,5.310477018356323
L-VQE No Entanglement,10,7,1,0.9999999999999996,5.168068885803223
L-VQE Entanglement,10,8,1,1.0,4.996826171875
L-VQE No Entanglement,10,8,1,0.9999999999999996,4.865473031997681
L-VQE Entanglement,10,9,1,1.0,4.940004110336304
L-VQE No Entanglement,10,9,1,0.9999999999999996,4.808767080307007
L-VQE Entanglement,10,0,1,0.9995999999999999,
L-VQE No Entanglement,10,0,1,0.9998000000000001,
L-VQE Entanglement,10,1,1,0.9998,
L-VQE No Entanglement,10,1,1,0.733,
L-VQE Entanglement,10,2,1,0.9993333333333333,
L-VQE No Entanglement,10,2,1,0.7333333333333333,
L-VQE Entanglement,10,3,1,0.9992666666666667,
L-VQE No Entanglement,10,3,1,0.9990000000000001,
L-VQE Entanglement,10,4,1,0.9992,
L-VQE No Entanglement,10,4,1,0.9994,
L-VQE Entanglement,10,5,1,0.9984666666666667,
L-VQE No Entanglement,10,5,1,0.9993999999999998,
L-VQE Entanglement,10,6,1,0.9997333333333335,
L-VQE No Entanglement,10,6,1,1.0,
L-VQE Entanglement,10,7,1,0.9985333333333333,
L-VQE No Entanglement,10,7,1,0.9995999999999999,
L-VQE Entanglement,10,8,1,0.9997333333333334,
L-VQE No Entanglement,10,8,1,0.9994,
L-VQE Entanglement,10,9,1,0.9998,
L-VQE No Entanglement,10,9,1,0.9990000000000001,
