graph,seed,algorithm,n_layers,rho
mobius_10,0,L-VQE,0,0.9998
mobius_10,0,L-VQE,1,0.9997666666666665
mobius_10,0,L-VQE,2,0.8654333333333334
mobius_10,0,VQE,1,0.9994666666666666
mobius_10,0,VQE,2,0.9991666666666669
mobius_10,1,L-VQE,0,0.7333000000000001
mobius_10,1,L-VQE,1,1.0
mobius_10,1,L-VQE,2,0.867533333333333
mobius_10,1,VQE,1,0.9999
mobius_10,1,VQE,2,0.9997
mobius_10,2,L-VQE,0,0.7332000000000001
mobius_10,2,L-VQE,1,0.9997666666666666
mobius_10,2,L-VQE,2,0.8592000000000001
mobius_10,2,VQE,1,0.9995999999999999
mobius_10,2,VQE,2,0.9998333333333332
mobius_10,3,L-VQE,0,0.9998
mobius_10,3,L-VQE,1,0.9996666666666666
mobius_10,3,L-VQE,2,0.8654333333333334
mobius_10,3,VQE,1,1.0
mobius_10,3,VQE,2,0.9995999999999998
mobius_10,4,L-VQE,0,0.9998
mobius_10,4,L-VQE,1,0.9999
mobius_10,4,L-VQE,2,0.8668333333333335
mobius_10,4,VQE,1,0.9997666666666664
mobius_10,4,VQE,2,0.9999
mobius_10,5,L-VQE,0,0.9999
mobius_10,5,L-VQE,1,1.0
mobius_10,5,L-VQE,2,0.8727999999999999
mobius_10,5,VQE,1,0.9998666666666665
mobius_10,5,VQE,2,0.9994333333333333
mobius_10,6,L-VQE,0,0.9999
mobius_10,6,L-VQE,1,0.9994
mobius_10,6,L-VQE,2,0.8664
mobius_10,6,VQE,1,0.9996666666666665
mobius_10,6,VQE,2,0.9996999999999999
mobius_10,7,L-VQE,0,1.0
mobius_10,7,L-VQE,1,0.9997999999999999
mobius_10,7,L-VQE,2,0.8691666666666668
mobius_10,7,VQE,1,0.7332000000000001
mobius_10,7,VQE,2,0.9996666666666665
mobius_10,8,L-VQE,0,1.0
mobius_10,8,L-VQE,1,0.9996666666666666
mobius_10,8,L-VQE,2,0.8648666666666667
mobius_10,8,VQE,1,0.9999
mobius_10,8,VQE,2,0.9997333333333333
mobius_10,9,L-VQE,0,0.9997999999999999
mobius_10,9,L-VQE,1,1.0
mobius_10,9,L-VQE,2,0.8649333333333333
mobius_10,9,VQE,1,1.0
mobius_10,9,VQE,2,0.9992999999999997
3reg_8,0,L-VQE,0,1.0
3reg_8,0,L-VQE,1,0.9999500000000001
3reg_8,0,L-VQE,2,0.946
3reg_8,0,VQE,1,0.9996500000000001
3reg_8,0,VQE,2,0.9994500000000001
3reg_8,1,L-VQE,0,0.99975
3reg_8,1,L-VQE,1,0.99985
3reg_8,1,L-VQE,2,0.8505
3reg_8,1,VQE,1,1.0
3reg_8,1,VQE,2,0.99975
3reg_8,2,L-VQE,0,0.99985
3reg_8,2,L-VQE,1,1.0
3reg_8,2,L-VQE,2,0.9482999999999999
3reg_8,2,VQE,1,0.9997999999999999
3reg_8,2,VQE,2,0.9996499999999997
3reg_8,3,L-VQE,0,0.99985
3reg_8,3,L-VQE,1,0.99985
3reg_8,3,L-VQE,2,0.85465
3reg_8,3,VQE,1,0.9991999999999999
3reg_8,3,VQE,2,0.99975
3reg_8,4,L-VQE,0,0.99985
3reg_8,4,L-VQE,1,1.0
3reg_8,4,L-VQE,2,0.952
3reg_8,4,VQE,1,1.0
3reg_8,4,VQE,2,0.9995499999999999
3reg_8,5,L-VQE,0,1.0
3reg_8,5,L-VQE,1,0.99935
3reg_8,5,L-VQE,2,0.8582000000000001
3reg_8,5,VQE,1,0.9997499999999999
3reg_8,5,VQE,2,0.9998499999999998
3reg_8,6,L-VQE,0,1.0
3reg_8,6,L-VQE,1,0.9998000000000001
3reg_8,6,L-VQE,2,0.9087499999999998
3reg_8,6,VQE,1,0.9995500000000002
3reg_8,6,VQE,2,0.9997499999999999
3reg_8,7,L-VQE,0,0.99985
3reg_8,7,L-VQE,1,1.0
3reg_8,7,L-VQE,2,0.86295
3reg_8,7,VQE,1,1.0
3reg_8,7,VQE,2,0.9990499999999999
3reg_8,8,L-VQE,0,1.0
3reg_8,8,L-VQE,1,0.9995499999999999
3reg_8,8,L-VQE,2,0.84765
3reg_8,8,VQE,1,0.9999499999999999
3reg_8,8,VQE,2,0.9994999999999999
3reg_8,9,L-VQE,0,0.7999500000000002
3reg_8,9,L-VQE,1,0.9999
3reg_8,9,L-VQE,2,0.8572000000000001
3reg_8,9,VQE,1,0.9999499999999999
3reg_8,9,VQE,2,0.9997499999999999
3reg_10,0,L-VQE,0,0.9230769230769231
3reg_10,0,L-VQE,1,0.9228076923076926
3reg_10,0,L-VQE,2,0.8409999999999999
3reg_10,0,VQE,1,0.922576923076923
3reg_10,0,VQE,2,0.9996923076923075
3reg_10,1,L-VQE,0,0.9230769230769231
3reg_10,1,L-VQE,1,0.9228076923076922
3reg_10,1,L-VQE,2,0.8444999999999999
3reg_10,1,VQE,1,0.9997692307692307
3reg_10,1,VQE,2,0.9991538461538461
3reg_10,2,L-VQE,0,0.9998846153846154
3reg_10,2,L-VQE,1,0.9998461538461539
3reg_10,2,L-VQE,2,0.8411153846153846
3reg_10,2,VQE,1,0.9227692307692307
3reg_10,2,VQE,2,0.9997307692307691
3reg_10,3,L-VQE,0,0.9999615384615385
3reg_10,3,L-VQE,1,0.9998846153846154
3reg_10,3,L-VQE,2,0.8501538461538463
3reg_10,3,VQE,1,0.8456923076923076
3reg_10,3,VQE,2,0.9999615384615382
3reg_10,4,L-VQE,0,1.0
3reg_10,4,L-VQE,1,0.9998461538461538
3reg_10,4,L-VQE,2,0.8523461538461538
3reg_10,4,VQE,1,0.9225384615384615
3reg_10,4,VQE,2,0.9991538461538464
3reg_10,5,L-VQE,0,0.8461153846153847
3reg_10,5,L-VQE,1,0.8461153846153847
3reg_10,5,L-VQE,2,0.7695000000000001
3reg_10,5,VQE,1,0.9998461538461536
3reg_10,5,VQE,2,0.9227307692307691
3reg_10,6,L-VQE,0,1.0
3reg_10,6,L-VQE,1,1.0
3reg_10,6,L-VQE,2,0.8402307692307692
3reg_10,6,VQE,1,0.9227692307692308
3reg_10,6,VQE,2,0.9227692307692308
3reg_10,7,L-VQE,0,1.0
3reg_10,7,L-VQE,1,0.9998076923076922
3reg_10,7,L-VQE,2,0.8440769230769232
3reg_10,7,VQE,1,0.9998846153846154
3reg_10,7,VQE,2,0.9998846153846154
3reg_10,8,L-VQE,0,0.9998846153846154
3reg_10,8,L-VQE,1,0.9995384615384614
3reg_10,8,L-VQE,2,0.8504615384615384
3reg_10,8,VQE,1,0.9229230769230768
3reg_10,8,VQE,2,0.9222692307692306
3reg_10,9,L-VQE,0,0.9998461538461538
3reg_10,9,L-VQE,1,0.9995384615384615
3reg_10,9,L-VQE,2,0.8483076923076921
3reg_10,9,VQE,1,0.9230769230769231
3reg_10,9,VQE,2,0.9995769230769229
3reg_12,0,L-VQE,0,0.87496875
3reg_12,0,L-VQE,1,0.93715625
3reg_12,0,L-VQE,2,0.9067812499999999
3reg_12,0,VQE,1,0.9994374999999999
3reg_12,0,VQE,2,0.9996249999999999
3reg_12,1,L-VQE,0,0.99996875
3reg_12,1,L-VQE,1,0.9996562499999997
3reg_12,1,L-VQE,2,0.9074374999999997
3reg_12,1,VQE,1,0.9371875
3reg_12,1,VQE,2,0.9976250000000001
3reg_12,2,L-VQE,0,1.0
3reg_12,2,L-VQE,1,0.9995625
3reg_12,2,L-VQE,2,0.905125
3reg_12,2,VQE,1,1.0
3reg_12,2,VQE,2,0.9991249999999999
3reg_12,3,L-VQE,0,0.9997187499999999
3reg_12,3,L-VQE,1,0.9999374999999999
3reg_12,3,L-VQE,2,0.9096250000000001
3reg_12,3,VQE,1,0.9997812499999997
3reg_12,3,VQE,2,0.9998124999999999
3reg_12,4,L-VQE,0,0.9999062499999999
3reg_12,4,L-VQE,1,0.9995937499999998
3reg_12,4,L-VQE,2,0.9098124999999998
3reg_12,4,VQE,1,0.9369375000000001
3reg_12,4,VQE,2,0.9994374999999999
3reg_12,5,L-VQE,0,0.7498750000000001
3reg_12,5,L-VQE,1,0.93725
3reg_12,5,L-VQE,2,0.9086249999999999
3reg_12,5,VQE,1,0.9998125
3reg_12,5,VQE,2,0.93603125
3reg_12,6,L-VQE,0,0.999625
3reg_12,6,L-VQE,1,0.9993749999999999
3reg_12,6,L-VQE,2,0.9089687499999999
3reg_12,6,VQE,1,0.87478125
3reg_12,6,VQE,2,0.99925
3reg_12,7,L-VQE,0,0.9999062499999999
3reg_12,7,L-VQE,1,0.9998125
3reg_12,7,L-VQE,2,0.89853125
3reg_12,7,VQE,1,0.8749687500000001
3reg_12,7,VQE,2,0.9996875000000001
3reg_12,8,L-VQE,0,0.8749687500000001
3reg_12,8,L-VQE,1,0.9998125
3reg_12,8,L-VQE,2,0.9054999999999997
3reg_12,8,VQE,1,0.9996875
3reg_12,8,VQE,2,0.9989375000000001
3reg_12,9,L-VQE,0,0.9999375
3reg_12,9,L-VQE,1,0.9997187499999997
3reg_12,9,L-VQE,2,0.90515625
3reg_12,9,VQE,1,0.9991562500000002
3reg_12,9,VQE,2,0.99978125
3reg_14,0,L-VQE,0,0.9410588235294117
3reg_14,0,L-VQE,1,0.9408823529411763
3reg_14,0,L-VQE,2,0.9109117647058822
3reg_14,0,VQE,1,0.999705882352941
3reg_14,0,VQE,2,0.939735294117647
3reg_14,1,L-VQE,0,0.9411176470588235
3reg_14,1,L-VQE,1,0.9409117647058823
3reg_14,1,L-VQE,2,0.8553823529411764
3reg_14,1,VQE,1,0.9996470588235294
3reg_14,1,VQE,2,0.9402941176470588
3reg_14,2,L-VQE,0,0.9999117647058824
