method,step,cost
L-VQE,0,-6.1
L-VQE,1,-5.9
L-VQE,2,-5.1
L-VQE,3,-5.3
L-VQE,4,-5.3
L-VQE,5,-6.8
L-VQE,6,-5.8
L-VQE,7,-5.5
L-VQE,8,-6.0
L-VQE,9,-5.9
L-VQE,10,-5.9
L-VQE,11,-5.6000000000000005
L-VQE,12,-5.9
L-VQE,13,-6.3
L-VQE,14,-5.8
L-VQE,15,-5.3
L-VQE,16,-5.8
L-VQE,17,-5.5
L-VQE,18,-5.3
L-VQE,19,-6.1
L-VQE,20,-5.9
L-VQE,21,-5.8
L-VQE,22,-5.3
L-VQE,23,-6.6
L-VQE,24,-5.3
L-VQE,25,-6.2
L-VQE,26,-6.0
L-VQE,27,-7.0
L-VQE,28,-5.8
L-VQE,29,-5.7
L-VQE,30,-6.5
L-VQE,31,-6.4
L-VQE,32,-5.1
L-VQE,33,-6.2
L-VQE,34,-5.6
L-VQE,35,-5.8
L-VQE,36,-5.6
L-VQE,37,-5.2
L-VQE,38,-5.5
L-VQE,39,-5.6
L-VQE,40,-5.4
L-VQE,41,-6.1
L-VQE,42,-5.1
L-VQE,43,-5.4
L-VQE,44,-6.4
L-VQE,45,-5.9
L-VQE,46,-5.4
L-VQE,47,-6.1
L-VQE,48,-6.6
L-VQE,49,-5.3
L-VQE,50,-6.2
L-VQE,51,-6.4
L-VQE,52,-5.7
L-VQE,53,-5.8
L-VQE,54,-6.4
L-VQE,55,-5.7
L-VQE,56,-5.7
L-VQE,57,-5.0
L-VQE,58,-6.2
L-VQE,59,-6.6
L-VQE,60,-5.8
L-VQE,61,-5.6
L-VQE,62,-5.2
L-VQE,63,-6.8
L-VQE,64,-6.0
L-VQE,65,-6.4
L-VQE,66,-5.9
L-VQE,67,-6.6
L-VQE,68,-5.7
L-VQE,69,-6.8
L-VQE,70,-6.1
L-VQE,71,-5.3
L-VQE,72,-6.0
L-VQE,73,-6.2
L-VQE,74,-5.3
L-VQE,75,-5.9
L-VQE,76,-6.0
L-VQE,77,-5.9
L-VQE,78,-5.3
L-VQE,79,-6.3
L-VQE,80,-6.2
L-VQE,81,-5.6
L-VQE,82,-5.9
L-VQE,83,-6.2
L-VQE,84,-6.0
L-VQE,85,-6.5
L-VQE,86,-6.0
L-VQE,87,-6.3
L-VQE,88,-6.1
L-VQE,89,-5.3
L-VQE,90,-6.7
L-VQE,91,-6.9
L-VQE,92,-6.2
L-VQE,93,-6.7
L-VQE,94,-5.8
L-VQE,95,-5.9
L-VQE,96,-5.9
L-VQE,97,-5.9
L-VQE,98,-5.8
L-VQE,99,-6.5
L-VQE,100,-6.4
L-VQE,101,-6.3
L-VQE,102,-5.9
L-VQE,103,-6.9
L-VQE,104,-6.2
L-VQE,105,-7.300000000000001
L-VQE,106,-6.6
L-VQE,107,-5.0
L-VQE,108,-6.0
L-VQE,109,-6.2
L-VQE,110,-5.7
L-VQE,111,-5.8
L-VQE,112,-7.2
L-VQE,113,-6.2
L-VQE,114,-7.0
L-VQE,115,-7.7
L-VQE,116,-5.7
L-VQE,117,-4.9
L-VQE,118,-5.9
L-VQE,119,-6.7
L-VQE,120,-6.6
L-VQE,121,-6.1
L-VQE,122,-6.0
L-VQE,123,-6.3
L-VQE,124,-6.3
L-VQE,125,-6.6
L-VQE,126,-6.7
L-VQE,127,-7.7
L-VQE,128,-6.7
L-VQE,129,-6.3999999999999995
L-VQE,130,-6.9
L-VQE,131,-6.3
L-VQE,132,-5.0
L-VQE,133,-7.2
L-VQE,134,-7.4
L-VQE,135,-6.2
L-VQE,136,-6.3
L-VQE,137,-6.0
L-VQE,138,-6.9
L-VQE,139,-5.6000000000000005
